Rosas;Oreja de Van Gogh;Lo que te conte mientras te hacias la dormida;2003;https://www.youtube.com/watch?v=nYnLVWXmRm8;;;;;;;;;;
En;un;día;de;estos;en;que;suelo;pensar;;;;;;
Hoy;va;a;ser;el;día;menos;pensado;;;;;;;
Nos;hemos;cruzado,;has;decidido;mirar;;;;;;;;;
A;los;ojitos;azules;que;ahora;van;a;tu;lado;;;;;
--;;;;;;;;;;;;;;
Desde;el;momento;en;el;que;te;conocí;;;;;;;
Resumiendo;con;prisas,;tiempo;de;silencio;;;;;;;;;
Te;juro;que;a;nadie;le;he;vuelto;a;decir;;;;;
Que;tenemos;el;record;del;mundo;en;querernos;;;;;;;
--;;;;;;;;;;;;;;
Por;eso;esperaba;con;la;carita;empapada;;;;;;;;
Que;llegaras;con;rosas,;con;mil;rosas;para;mí;;;;;;
Porque;ya;sabes;que;me;encantan;esas;cosas;;;;;;;
Que;no;importa;si;es;muy;tonto,;soy;así;;;;;;
Y;aún;me;parece;mentira;que;se;escape;mi;vida;;;;;
Imaginando;que;vuelves;a;pasarte;por;aquí;;;;;;;;
Donde;los;viernes,;cada;tarde;como;siempre;;;;;;;;
La;esperanza;dice:;Quieta,;hoy;quizá;sí;;;;;;;;
--;;;;;;;;;;;;;;
Escapando;una;noche;de;un;bostezo;del;Sol;;;;;;;
Me;pediste;que;te;diera;un;beso;;;;;;;;
Con;lo;baratos;que;salen;mi;amor;;;;;;;;
¿Qué;te;cuesta;callarme;con;uno;de;esos?;;;;;;;
Pasaron;seis;meses;y;me;dijiste;adiós;;;;;;;;
Un;placer;coincidir;en;esta;vida;;;;;;;;;
Ahí;me;quedé;en;una;mano;el;corazón;;;;;;;
Y;en;la;otra;excusas;que;ni;tú;entendías;;;;;;
--;;;;;;;;;;;;;;
Por;eso;esperaba;con;la;carita;empapada;;;;;;;;
Que;llegaras;con;rosas,;con;mil;rosas;para;mí;;;;;;
Porque;ya;sabes;que;me;encantan;esas;cosas;;;;;;;
Que;no;importa;si;es;muy;tonto,;soy;así;;;;;;
Y;aún;me;parece;mentira;que;se;escape;mi;vida;;;;;
Imaginando;que;vuelves;a;pasarte;por;aquí;;;;;;;;
Donde;los;viernes,;cada;tarde;como;siempre;;;;;;;;
La;esperanza;dice:;Quieta,;hoy;quizá;sí;;;;;;;;
--;;;;;;;;;;;;;;
Y;es;que;empiezo;a;pensar;;;;;;;;;
Que;el;amor;VERDADERO;es;tan;solo;el;primero;;;;;;
Y;es;que;empiezo;a;sospechar;;;;;;;;;
Que;los;demás;son;solo;para;olvidar;;;;;;;;
--;;;;;;;;;;;;;;
Por;eso;esperaba;con;la;carita;empapada;;;;;;;;
Que;llegaras;con;rosas,;con;mil;rosas;para;mí;;;;;;
Porque;ya;sabes;que;me;encantan;esas;cosas;;;;;;;
Que;no;importa;si;es;muy;tonto,;soy;así;;;;;;
Y;aún;me;parece;mentira;que;se;escape;mi;vida;;;;;
Imaginando;que;vuelves;a;pasarte;por;aquí;;;;;;;;
Donde;los;viernes,;cada;tarde;como;siempre;;;;;;;;
La;esperanza;dice:;Quieta,;hoy;quizá;sí;;;;;;;;
##;;;;;;;;;;;;;;
Me gustas t�;Manu Chao;Pr�xima estaci�n:Esperanza;2001;https://www.youtube.com/watch?v=rs6Y4kZ8qtw;canciones/Me_gustas_tu.mid;;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
Te;lo;dije;bien;clarito;;;;;;;;;;
Permanece;la;escucha;;;;;;;;;;;;
Permanece;la;escucha;;;;;;;;;;;;
Doce;de;la;noche;en;La;Habana,;Cuba;;;;;;;
Once;de;la;noche;en;San;Salvador,;El;Salvador;;;;;;
Once;de;la;noche;en;Managua,;Nicaragua;;;;;;;;
-;;;;;;;;;;;;;;
Me;gustan;los;aviones,;me;gustas;tú;;;;;;;;
Me;gusta;viajar,;me;gustas;tú;;;;;;;;;
Me;gusta;la;mañana,;me;gustas;tú;;;;;;;;
Me;gusta;el;viento,;me;gustas;tú;;;;;;;;
Me;gusta;soñar,;me;gustas;tú;;;;;;;;;
Me;gusta;la;mar,;me;gustas;tú;;;;;;;;
-;;;;;;;;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;pas;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;plus;;;;;;;
¿Qué;voy;a;hacer?;Je;suis;perdu;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
-;;;;;;;;;;;;;;
Me;gusta;la;moto,;me;gustas;tú;;;;;;;;
Me;gusta;correr,;me;gustas;tú;;;;;;;;;
Me;gusta;la;lluvia,;me;gustas;tú;;;;;;;;
Me;gusta;volver,;me;gustas;tú;;;;;;;;;
Me;gusta;marihuana,;me;gustas;tú;;;;;;;;;
Me;gusta;colombiana,;me;gustas;tú;;;;;;;;;
Me;gusta;la;montaña,;me;gustas;tú;;;;;;;;
Me;gusta;la;noche;(Me;gustas;tú);;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;pas;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;plus;;;;;;;
¿Qué;voy;a;hacer?;Je;suis;perdu;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
-;;;;;;;;;;;;;;
Doce,;un;minuto;;;;;;;;;;;;
Me;gusta;la;cena,;me;gustas;tú;;;;;;;;
Me;gusta;la;vecina,;me;gustas;tú;;;;;;;;
Radio;Reloj,;una;de;la;mañana;;;;;;;;;
